date,Tweet,label
2020-07-24 16:43:37,فیصد آبادی پنجاب دی تے جو کجھ وڈے میاں جی نے کیتا کوی مای دا لال اس پنجاب لئ نہیں کر سکدا مگر اس دے بدلے اسی پنجابیاں نے کی دتا سب توں زیادہ تبدیلی دا کیڑا اس پنجاب نو سی بھانوِیں ایلیٹ کلاس سی یا لویر کلاس یا فیر اسٹیبلشمنٹ سارے پنجابی مستحق اس بربادی دے تے زمہ دار 🙏,0
2020-07-24 12:49:02,مرحبا بالامس قمت بطلب عبر تطبيق ماي اس سي لنقل خطي مشغل اخر الى اس سي وصول المندوب وعطاني الشريحه وقالي خلال ساعة تتفعل وحتى الان مرت اكثر مو ساعة وشريحتي بالمشغل القديم تشتغل وشريحتكم ماتشتغل وكلمت المندوب يقول انا مجرد مندوب ماعرف,-1
2020-07-23 22:30:45,قائمة الجوالات مو موجوده تطبيق ماي اس سي عشان اطلب,-1
2020-07-23 17:10:44,يمكن عنده اعلان حق ماي اس سي وبيطلبه جوال 🤣,0
2020-07-23 05:29:11,الافضل عم تجربه تشتري ماي اس سي يوصلونه اين بيتكم والفاتوره ألكترونيه زياده المحلات ب تقريبا,0
2020-07-22 20:38:13,ابغى احول مبلغ دولي للعمالة منزليه عندها حساب احول ماي اس سي باي,1
2020-07-22 16:19:59,اقسم بالله العظيم يشغلون الخدمة شهر فيك خير حاول تشغلها الشهر الثاني مراسلات ، اتصال ، تويتر ، برنامج ماي اس سي حياة لمن تنادي شركة تعطيك الطعم ، تقضي مقابل خدمة مهترئة حسبي الله ونعم الوكيل فيهم,-1
2020-07-22 09:48:46,وقف خدمة الشراء المباشر طريق ماي اس سي,-1
2020-07-22 09:18:11,الي اعرفه اغلبية المتاجر نقاط بريال ، ادخلي ماي اس سي وشوفي المتاجر,0
2020-07-21 23:18:58,مای تیری پچھلی کتاب تے نہیں وکی چل ھن اغوا تے کتاب لکھ دے۔۔۔ اس سے پیلے اپنئ بھگوڑی گیراج والی مالکن سے ملاقات کر لین,0
2020-07-21 16:45:12,احاول ادخل تطبيق ماي اس سي تطلعلي الرسالة اللي الصورة اتمنى مساعدتي حل المشكلة,0
2020-07-21 15:40:08,السلام عليكم ورحمة الله وبركاته مساء الخير دخولي تطبيق ماي اس سي اريد الحصول رقم جديد الخدمه متاحه الوقت الحالي اريد ان اروح ابعد اس سي,0
2020-07-21 11:26:06,اشتركت عندكم فايبر وسجلت ماي اس سي ورفض الدخول والمسج اتصل لازم تتصل رقم stcماعندي رقم stcمالحل,-1
2020-07-21 02:05:05,اطقطق ببرنامج ماي اس سي وعجبني رقم وطلبته الا شخص يتصل علي يقول جهز رمز التوثيق عشر دقايق اكون عندك والله م صدقت لين استلمتها تو,1
2020-07-20 15:46:28,سلام عليكم طلبت عرض الشريحة الراوتر و يأتني الطلب و اذا دخلت ع تطبيق ماي اس سي احصل الطلب,0
2020-07-20 03:19:07,صباح الخير بالامكان تحويل خط مفوتر الى مسبق الدفع طريق ماي اس سي,0
2020-07-19 23:36:38,بيانات ومكالمات بشريحة وحده قدم عليها ماي اس سي والله تفك ازمة بدون فاتوره وقلق,1
2020-07-19 19:42:55,طريق التطبيق ماي اس سي انا نفس الشي الغيت الثالثة,1
2020-07-18 23:22:47,تجربتي لاحد خدمات الاتصالات السعوديه تطبيق ماي اس سي طلب مني تقييم الخدمه وبعد ان كتبت تقييمي ( حسبي الله ونعم الوكيل ) رفض استلام التقييم يعني كلمة ( الله ) ممنوعه😳,0
2020-07-18 20:39:37,استفسار انا شريحتي مسبق الدفع وحلتها مفوتر طريق ماي اس سي المده وتتحول مفوتر,0
2020-07-16 20:44:20,افعل حساب ماي اس سي كلمت ومااستفدت,-1
2020-07-16 08:45:23,السلام عليكم افعل حساب ماي اس سي لاني اعمل تسجيل دخول يقول حساب مفعل تواصل,-1
2020-07-16 08:06:31,اخوي توصيل الشريحة ياخذ مبلغ موقع ماي اس سي اتمنى الرد ضروري,0
2020-07-16 01:59:50,او اذا تقدر تفتح تطبيق ماي اس سي تقدر تعرف البيانات طبعا اذا صرت مسجل ايميلك,0
2020-07-15 23:21:45,ماي اس سي رهيييييب 😂,1
2020-07-15 19:58:40,نزل ماي اس سي ويبين شي,1
2020-07-15 19:00:37,استبدال الشريحه الى شريحة الكترونية خاص بالمفوتر لاني احصل خيار الاستبدال تطبيق ماي اس سي موقع خدماتي,0
2020-07-15 17:47:59,بسجل ماي اس سي يجي رقم الهويه او رقم الخدمه صحيح,0
2020-07-15 14:24:26,ياجماعه الخدمة عندكم بالترجي حساب ماي اس سي متعطل مدة وماحد فيكم قادر يحل المشكله شكلها نحول لشركة ثانيه اصرف,-1
2020-07-15 13:36:08,السلام عليكم انا شريت جهاز طريق ماي اس سي وجاني الموضف وحاسبت الجهاز وقال الموضف ان مشكله فالتطبيق ماقدر اعطيك ااجهاز وقال المبلغ بيرجع نفس اليوم او بكره والان اكثر يوم رجعلي المبلغ الي وهذا رقم مين يعوضني التاخير,-1
2020-07-15 12:48:38,ماي اس سي تحول بلاش و تقدر تحول دولي و يستلمها الشخص بنفس الوقت,-1
2020-07-15 07:50:23,يقول حمل تطبيق ماي اس سي حملته اول احد تخاطبه مثل اول,1
2020-07-15 03:03:44,تحمل ماي اس سي وتطلب شريحة مدمجه,1
2020-07-14 21:32:23,السلام عليكم كنت اقدم شكوى سوء النت طريق ماي اس سي والأن النت سيء ولاتوجد طريقه للشكوى مالحل,-1
2020-07-14 17:21:49,ليش ماتردون علي الرسائل الخاصة انا طلبت طريق ماي اس سي ولسا ماوصلت,-1
2020-07-14 11:39:53,الرقم صحيح رح يدلك ماي اس سي,0
2020-07-14 05:13:53,انا مطلع مفوتر اربعه و شهر و نص منقطعه المكالمات و رحت فرع يقولون اتصل ع اذا اتصلت ع يقولون رح ماي اس سي و ماي اس سي مافيها شكاوي اكلوني و عيو يقطعون الشريحة اللي يبي نصيحة اخ احد ياخذ شريحه stc رحو خذو اطلق ب كثير و اعروض طيبة,-1
