date,Tweet,label
2020-06-16 18:38:52,شف تطبيق ماي اس سي اطلب الجهاز ويجيك بكرة وغالبا خصم ٪ ومضمون سنتين,1
2020-06-16 18:08:18,سهله جدا لازم تحمل ماي اس سي وافهمك,0
2020-06-16 13:31:35,يوسف الحين اذا جا يشتكي تتوقع يشتكي كلنا امن ماي اس سي,0
2020-06-16 00:02:38,نقل ملكيه ماي اس سي الوالد,0
2020-06-15 16:22:22,طريقتين ابلكيشن البنك او ابلكيشن ماي اس سي,0
2020-06-15 15:01:58,تطبيق ماي اس سي تدخل وتسوي طلب نقل ملكيه وتوصل رسايل تحقق ويعطيها مهله تروح نفس جهاز الخدمه الذاتيه تبصم وتنقلها بااسمها,0
2020-06-15 00:53:14,اس سي شكرا تجاهلكم مكان تعاملكم قبل الاشتراك كنتم ياحليلكم والحين شان نطالب بحقنا تتجاهلونا ماي اس سي يردون بسرعه مشاء الله عليهم ماتظل ملطوع خمس دقايق وتتقفل المحادثة,-1
2020-06-14 21:55:43,شوفي اشتراك نتفلكس اذا انتي اس سي حملي ماي اس سي واشتركي,0
2020-06-14 18:49:58,هههههههههه يحمل ماي اس سي او,0
2020-06-14 16:49:31,تحية طيبة التقدم بطلب تركيب خدمة انترنت فايبر طريق تطبيق ( ماي اس سي ) تظهر الرساله علما وانه تم التاكد قدرة الكبينة بتزويد انترنت الفايبر الحي السكني وعليه ارجو الافادة بحل المشكلة شكرا,-1
2020-06-14 16:33:29,السلام عليكم ورحمة الله وبركاته 🤚🏻 عندي شريحة سوا ابي انقلها لشخص اخر وعند اتمام الخطوات ماي اس سي وصلت رساله اني اتوجهه الي اقرب جهاز خدمه ذاتيه 🤨,0
2020-06-14 11:42:48,استطيع الدخول علي ماي اس سي يطلع رقم البطاقة غلط,0
2020-06-14 10:41:13,احاول اسجل تطبيق ماي اس سي ويرفض يقول رقم بطاقة الاحوال خطا,0
2020-06-14 06:14:10,اهلن عندي عقد // اعرف باقي ودخلت تطبيق ماي اس سي ماحصلت معلومه,0
2020-06-14 02:24:21,السلام عليكم انا ابي افعل ماي اس سي ورافضين بحجه انه لازم رقمي عندكم طيب انا مشترك الاياف يقول لازم اتصل بتلفون ثابت وانا ماعندي عندي خط واعطيتهم والطلب معلق ايام وش الحل معاكم بالله,-1
2020-06-14 00:03:45,السلام عليكم ابي ادخل تطبيق ماي اس سي وماقدرت استعيد كلمة السر يقول رقم الجوال خطأ,-1
2020-06-13 22:18:30,ليه الايفونات مخلصة ابغى اطلب متوفرة بتطبيق ماي اس سي,0
2020-06-13 19:49:24,تروحين شيء تطبيق ماي أس سي يعطيك شريحة اكترونية وتركب الايفون مباشره 👍,1
2020-06-13 18:04:55,صح ماي اس سي,0
2020-06-13 17:06:09,سمحت الغي الاشتراك نتفلكس تطبيقكم ماي اس سي,0
2020-06-13 15:37:48,شکر ہے کرونا کی احتیاطی تدابیر یہ نہیں کہ ننگے پھرنے سے کرونا نہیں ہوتا نہیں تے اس مائ نے سب تو پہلاں مثال بن کے وکھانا سی کہ انج عمل کری دا اے☹️🤷‍♂️,0
2020-06-13 15:31:09,ياخوان عندي مشكله غريبه وشكلها محرجه للإتصالات ومنه انبهكم الاشتراك انحاشو عندي شريحه بيانات قيقا باقي قيقا وشهر كامل وانقطعت الخدمه ورفعت بلاغات ولامجيب والان صار يجيني بياناتك منتهيه ان ماي اس سي باقي,-1
2020-06-13 14:42:09,ماي اس سي,0
2020-06-13 12:24:07,شريحه تكون طريق كود وتقدر تاخذها طريق ماي اس سي والاضافه بيانات خلويه اضافه خطه جديده ـ مااظن مفتوح التطبيقات اللي تقول,0
2020-06-12 17:34:11,السلام عليكم مساء الخير دخلت موقع اس سي بطلب الجهاز ايفون اكس اس ماكس قال اطلبه تطبيق ماي اس سي ودخلت التطبيق ومالقيت الجهاز,-1
2020-06-12 10:07:56,عندي مشكله شريحة كويك نت نفس تطبيق ماي اس سي باين الخدمه شغاله وفي نفس الجوال البيانات مي شغاله عندي ايش الحل و المشكله,-1
2020-06-12 10:07:35,عندي مشكله شريحة كويك نت نفس تطبيق ماي اس سي باين الخدمه شغاله وفي نفس الجوال البيانات مي شغاله عندي ايش الحل و المشكله,-1
2020-06-12 10:07:23,عندي مشكله شريحة كويك نت نفس تطبيق ماي اس سي باين الخدمه شغاله وفي نفس الجوال البيانات مي شغاله عندي ايش الحل و المشكله,-1
2020-06-12 10:07:07,عندي مشكله شريحة كويك نت نفس تطبيق ماي اس سي باين الخدمه شغاله وفي نفس الجوال البيانات مي شغاله عندي ايش الحل و المشكله,-1
2020-06-12 07:31:39,الموقع حق ماي اس سي يرضى يحجز موعد اتصل موظفين شي طريق الرد الالي ابي احجز موعد مو راضي التطبيق سوالي شي واحد وش الفرع اللي فاتح يوم الجمعه والى الساعه ابي نقل ملكيه وتحويل الى مفوتر ابي اطق مشوار بالحر والشمس بدون اي فايدة,-1
2020-06-12 07:03:34,ابي احول رقم الى مسبق الدفع طريث ماي اس سي ماابي اروح اقرب فرع وقروشه ممكن طريقه سريعه,-1
2020-06-12 07:01:01,ماي اس سي,0
2020-06-12 02:58:35,اقدر اطلع رقم جديد تطبيق ماي اس سي وانا ماسبق ابصم عندكم,0
2020-06-11 19:54:20,هوا مبين الشريحه شغاله نفس موقع ماي اس سي ولاكن الجوال مي شغاله رساله تجي اي برنامج ايش المشكله والحل طيب،,-1
2020-06-11 19:54:07,"هوا مبين الشريحه شغاله نفس موقع ماي اس سي ولاكن الجوال مي شغاله رساله تجي اي برنامج ايش المشكله والحل طيب ,",-1
2020-06-11 17:16:35,هوا مبين الشريحه شغاله نفس موقع ماي اس سي ولاكن الجوال مي شغاله رساله تجي اي برنامج ايش المشكله والحل طيب,0
2020-06-11 17:16:25,هوا مبين الشريحه شغاله نفس موقع ماي اس سي ولاكن الجوال مي شغاله رساله تجي اي برنامج ايش المشكله والحل طيب,0
2020-06-11 17:16:15,هوا مبين الشريحه شغاله نفس موقع ماي اس سي ولاكن الجوال مي شغاله رساله تجي اي برنامج ايش المشكله والحل طيب,-1
2020-06-11 17:16:02,هوا مبين الشريحه شغاله نفس موقع ماي اس سي ولاكن الجوال مي شغاله رساله تجي اي برنامج ايش المشكله والحل طيب,0
2020-06-11 17:15:52,هوا مبين الشريحه شغاله نفس موقع ماي اس سي ولاكن الجوال مي شغاله رساله تجي اي برنامج ايش المشكله والحل طيب,0
2020-06-11 14:37:00,هوا مبين الشريحه شغاله نفس موقع ماي اس سي ولاكن الجوال مي شغاله رساله تجي اي برنامج ايش المشكله والحل طيب,0
2020-06-11 14:36:48,هوا مبين الشريحه شغاله نفس موقع ماي اس سي ولاكن الجوال مي شغاله رساله تجي اي برنامج ايش المشكله والحل طيب,0
2020-06-11 14:36:27,هوا مبين الشريحه شغاله نفس موقع ماي اس سي ولاكن الجوال مي شغاله رساله تجي اي برنامج ايش المشكله والحل طيب,0
2020-06-11 14:36:02,هوا مبين الشريحه شغاله نفس موقع ماي اس سي ولاكن الجوال مي شغاله رساله تجي اي برنامج ايش المشكله والحل طيب,0
2020-06-11 14:35:21,هوا مبين الشريحه شغاله نفس موقع ماي اس سي ولاكن الجوال مي شغاله رساله تجي اي برنامج ايش المشكله والحل طيب,0
2020-06-11 14:21:26,طريقة الشريحة الاكترونيه طريق ماي اس سي يظهر بار كود وتفعلها بدون شريحه اسال الشركه عنها او ادخل برنامجهم وتحصل التفاصيل,1
2020-06-11 12:57:46,السلام عليكم عندي شريحه كويك نت اول شهر خلصت وجيت اشحنها طريق ماي اس سي وشحنتها وطالع انها تفعلت رساله تجي اي برنامج اي الحل,0
