date,Tweet,Label
2020-05-12 22:50:59,ادري انا العصر شيكت وكانت متوفرة الان مدري اذا جوالك تبع اس سي حملي برنامج ماي اس سي وشوفي تقدرين تطلبين نفس التطبيق ويوصلونه,
2020-05-12 22:09:33,احول رقم مفوتر الى شحن سوا زيارة الفرع موجود بتطبيق ماي اس سي,
2020-05-12 20:59:03,عندي طلبات يتم محاسبتي عليها قبل ربط التطبيق ماي اس سي طلبات دفع الكتروني وطلبات للضمان الاجتماعي ارجو الرد فقط لحرصي ان يكون مالكم ومالي محسوم وشكرا,
2020-05-12 20:45:42,اذا كانت الشريحه الثانيه ب اسمك تقدر تفعلها تطبيق ماي اس سي اما اذا كانت مو بأسمك ماتوقع او بالاصح مادري,
2020-05-12 20:28:55,السلام عليكم اكمل اجراءات نقل الملكيه لشريحتي الحضور الى الفرع علماً ب اني بدأت طريق تطبيق ماي اس سي,
2020-05-12 20:11:28,ممكن اطلب شريحة بيانات بدون برنامج ماي اس سي لان ماعندي رقم سوا فمايفتح البرنامج معاي,
2020-05-12 19:35:20,هههاي ماي اس سي 😂😂😂✅,
2020-05-12 16:42:42,اذا طلبت شريحة جديدة تطبيق ماي اس سي ليش لازم تجيني رسالة تأكيد وانا عندي رقم سعودي خير شر,
2020-05-12 16:35:36,ادخلوا ماي اس سي My stc بتلاقونه الاجهزة عني طلبته برا وبنفس السعر اس سي وبدون لعبة توقعت يتوفر قبل شهر بالعكس اللي ياخذه افضل عشان الضمان 👌🏽,
2020-05-12 14:40:46,ليش ماعاد القاكم تطبيق ماي اس سي للاشتراك 😫,
2020-05-12 03:01:35,ماي اس سي متوفر وعليه عرض,
2020-05-11 23:03:46,ايه تقدر ياصديقي طريق ماي أس سي,
2020-05-11 22:36:56,رغم محاولاتي الطويلة للإتصال بقسم الاعطال الاتصالات السعودية والبقاء لمدد طويلة اتمكن الاتصال لابلغ هاتفي الثابت المعطل اربعة ايام وسبق رفع شكوى ماي اس سي قبل اربعة ايام حياة لمن تنادي عبروني واتصلوا علي,
2020-05-11 22:35:33,السلام عليكم انقل ملكية شريحة بيانات لشخص اخر يوجد بنفس المنطقة وتطبيق ماي اس سي يوجد خانه نقل ملكية,
2020-05-11 19:59:50,اريد فصل الهاتف احد يجيب ع رقم يوجد خيار ماي اس سي والحلللل,
2020-05-11 18:17:48,ماتوقع انها برسوم تدخل تطبيق ماي اس سي وتطلب ملخص للفاتورة او للخدمات اللي انت مشترك مافيه شي اسمه خدمة الرسائل الدعائية,
2020-05-11 03:31:06,للأسف موظفكم كان عنده عطل ف اليوزر ودق علي ويوم جيت برد فصل الخط وأرسل تم الغاء طلب انا طالب تغير الرقم موبايلي سواء وطلبت تطبيق ماي اس سي الى تم الغاء الطلب لعدم الرد بالامكان معاودة الطلب مره اخرى معالجة الطلب السابق الموظف التعامل سي,
2020-05-11 01:57:39,عندي شريحة مفوتر ابغا الغيها رحت للفرع يقولي م يجيك رمز التوثيق تطبيق ماي اس سي م يرد علي الموظف كذالك للاتصال ارجو اتشوف حل تنزل علي فاتوره و انا م استعملها,
2020-05-10 21:04:00,السلام عليكم موظف stc طلبت نقل رقمي موبايلي الى stc تطبيق ماي اس سي والموظف اتصل علي وبعذها ارسل تم الغاء الطلب اتمناء معالجة الطلب ومحاسبة الموظف,
2020-05-10 21:01:28,ادخلي ماي اس سي ، بعدين قطاف ويطلع,
2020-05-10 20:27:07,عندي فايبر وابي ادخل حسابي ماي اس سي وماعندي جوال اس سي وش الطريقة,
2020-05-10 20:21:30,السلام عليكم انا مسددة فاتورة النت مايو طريق تطبيق ماي اس سي الفاتورة موجودة بتطبيق البنك انها مدفوعة ياليت تشوفون وش المشكلة وتحلونها 🌚,
