date,Tweet,Label
2020-12-04 09:39:04,تقدر تطلبه ماي اس سي,0
2020-12-03 14:45:41,اطلب البطاقة ماي اس سي وهل رسوم اطلبها,0
2020-12-03 09:16:27,الرجاء تفعيل الاشتراك بتطبيق ماي اس سي و رقم المرجعي للاشتراك,0
2020-12-03 07:41:30,عندك تطبيق ماي اس سي جميل ترا وتعرفين خلاله شي,1
2020-12-02 23:27:45,السلام عليكم انا عندي شريحة بيانات توقفت فجاه مافيه نت ماستفدت شي تطبيق ماي اس سي واتصل علىً ماني قادر اكلم احد اشرح المشكلة ابي حل,1
2020-12-02 19:18:00,نزل ماي اس سي البلاستيشن نسخة السي دي اي شي بخصوص نسخة الديجيتال,0
2020-12-02 18:27:31,انقل شريحه بيانات ماي اس سي,0
2020-12-02 17:24:06,انقل شريحه بيانات ماي اس سي,0
2020-12-02 15:46:13,تنقلها طريق ماي اس سي، تطلب شريحة جديدة ويجيك الكود وتحمله الجهاز الجديد وتدفع ريال رسوم وبس,1
2020-12-02 15:39:50,قدر الله علي وطلعت شريحة مدمجة حطيتها بجهاز اخر ابي انقلها لجهازي سؤ حظي اني اخترت شركتكملا ( ماي اس سي ) خدمة مساعدة ولارقم مساعدة كلهم يقولون نعتذر الخدمة اليوم,-1
2020-12-02 13:00:10,سلام عليكم موظف تطبيق ماي اس سي رافض يرفع بلاغ مشكلة بطي بالنت وقفل المحادثه بدون ان يرفع الان مشكلتي مشكلتين بطئ بالنت والموظف اني دافع فلوس حقي ارفع بلاغ,-1
2020-12-01 18:35:38,السلام عليكم عطل بالنت المنطقة وصار فتره ارسل شكوى عبر تطبيق ماي اس سي اي اجابه وتم تنشيط اعدادات الجيل اي فايده,-1
2020-12-01 16:56:11,يارجال مامنكم كلام فاضي قال خش ماي اس سي تعالوا اوقفوا الموقع وحلو المشكلة المشكله عامه لأهل الحي وكلكم ثلاث شركات خدمتكم اسواء,-1
2020-12-01 15:48:05,طلب مسبق للبلايستيشن ماي اس سي اللي مهتم,0
2020-12-01 07:58:57,اطلب شريحة ماي اس سي,0
2020-11-30 17:04:40,سلام عليكم ناس يصير حول شهر امو فرع ف جده او طريق ماي اس سي ادور جوال يقولون متوفر انا خذ منكم ثلاثه شرايح فواتير عشان الاجهزه اذا خلوني احول ع او,0
2020-11-30 09:15:37,مرحبا حصلت عبى رقم مميز متجري للاتصالت السعودية العلم انه يوجد لدي خصم ٪ شراء الارقام الميزة حسب ماهو موضح ماي اس سي موضحه بالصورة المرفقه استفيد الان الخصم,1
2020-11-30 08:07:11,عندي مشكلة تتعلق بنقاط قطاف اني يسمح بستخدامها بحجة رقمي مفعل رغم اني ذهبت لمكتبكم وقال مسجل وموجود ومفعل واتصلت بخدمة العملاء وقالوا طريق تطبيق ماي اس سي وبالدخول يوجد خدمة مساعدة يتعلق بالنقاط ووصلت لطريق مسدود ممكن تدلوني ف اروح,-1
2020-11-29 22:38:55,حملي تطبيق ماي اس سي +عندهم شات تقدرين تطرحين مشكلتك عندهمجربي تلغين الرسائل الدعائيه والنصيه بعدين تفعلينهابيعلمك الشات حقهم,1
2020-11-29 22:10:10,احد جاوب صح تطبيق ماي اس سي,0
2020-11-29 22:02:34,السلام عليكم ،صباح الخير احول شريحتي مفوتر الى سوا ماي اس سي ماضبطت,-1
2020-11-29 11:36:45,حمل تطبيق ماي اس سي وشف تغطيه الشبكه واشترك فايبر صراحه جبار,1
2020-11-28 18:37:24,لاني مالقيته ماي اس سي,-1
2020-11-28 17:47:46,ابي الاكس بوكس سيريس اكس مالقيته متوفر ماي اس سي وش الحل,-1
2020-11-27 18:01:49,تطبيق ماي اس سي,0
2020-11-27 12:54:37,السلام عليكم بالامكان طلب شريحة بدل فاقد تطبيق ماي اس سي,1
2020-11-27 00:00:33,مددوها تحصلينها العروض الخاصه بتطبيق ماي اس سي,1
2020-11-26 23:58:48,تطبيق ماي اس سي تحصلها العروض الخاصه,1
2020-11-26 21:22:06,تطبيق ماي اس سي,0
2020-11-26 09:23:04,اشحن طريق ماي اس سي مايشحن وش المشكله,-1
2020-11-26 09:16:07,السلام عليكم اشحن طريق ماي اس سي مايشحن طريق ابل باي وش مشكله يقول تفويض حق ايش تفويض,-1
2020-11-25 22:42:20,فرق مابين وتطبيق ماي اس سي,-1
2020-11-25 16:16:55,🤣🤣😂😂🤣😂 حلوة ماي اس سي,-1
2020-11-25 16:02:40,مرة واحد اسمه يزيد كبر صار ينقص والله مجهود الليلة عاد عجبكم عجبكم اشربو ماي ماي اس سي هههههه,0
2020-11-25 10:13:43,مساء الخير استفسار بخصوص اجهزة الماك بوك الجيل الجديد راح تتوفر طريق تطبيق ماي اس سي وبعقد او وشكراً,0
2020-11-25 05:05:27,تطبيق ماي اس سي,0
2020-11-24 23:45:50,الي مو عارف يفعّل الباقه التعليميه انتهت ويطلع كلمة `` تعد متاحه '' كمشتركين جدد راحت عليهم كمشترك سابق بتتفعل فقط تطبيق ماي اس سي حملوا التطبيق اذا متوهقين بالتفعيل واشتروا الباقه التطبيق🙂,0
2020-11-24 19:33:40,اول شي تاكد الخدمه تبع اس سي حمل برنامج ماي اس اتي سي وشف يدعم الفايبر عندك وبعدها قدم فايبر,0
2020-11-24 05:29:29,احد موظفين قسم تسويق لديكم قام بالاتصال بشكل متكرر ويومي لتقديم عرض جوي شهور مجانا وعند دخول تطبيق ماي اس سي استكشف ان الباقة تم ترقيتها فقط ، المسؤول العرض علما تم تواصل معاكم بالخاص,0
2020-11-23 16:26:47,ايش مشكلة ماي اس سي يخرج البرنامج لوحده,-1
2020-11-23 07:36:53,بغيت اعرف الاجهزه المتوفره ماي اس سي مايبين,0
2020-11-22 19:55:19,ايوا تقدرين اذا اس سي ادخل تطبيق ماي اس سي وحطي نقل ملكيه وبيجيك الموظف تبصمين او تربطينها بابشر وتنقل,0
2020-11-22 12:33:06,ماي اس سي يبيع ابل بنسل والي بالصوره البديل,0
2020-11-21 21:45:47,طريق ماي اس سي,0
2020-11-21 19:34:48,وشلون اشري جهاز ماي اس سي الفاتورة,0
