date,Tweet,label
2021-01-26 03:53:41,سحبتو مني مبلغ لشحن رصيد طريق ماي اس سي تواصلت معاهم قالو تتواصلي البنك وانا ابغى المبلغ يرجع,0
2021-01-25 14:22:55,اذا رقمك شغال وعندك نسخه واتس اب السحابه بالواتس يقدر يسترحع المحادثات عشان النسخه-يقدر يشوف الارقام طريق ماي اس سي قعدتي فالافضل انه مو باسمه ونزله تطالبين برقم انه يصير تحت اسمك قبل يملكه شخص اخر ودايما الشي الخاص فيك يكون باسمك افضل,0
2021-01-24 22:33:24,اشتراك stc للمنصه روح ل stc واسالهم طريقته الاتّصالات السّعوديّة STC ريالاً سعوديّاًثلاثة أشهريتمّ الاشتراك الحزمة عبر تطبيق ماي اس سي,0
2021-01-24 19:35:13,شوي وأحد يمنشني الله يسعدكم شكلي الليله مداوم موظف اس سي ارد العملاء 😂😂 حملي ماي اس سي وشوفي وش المشكله ممكن تبين معك,0
2021-01-24 18:59:02,اقدر اطلع بدل فاقد تطبيق ماي اس سي,0
2021-01-24 18:51:37,السلام عليكم طلبت شريحه الكترونيه مفوتره طريق التطبيق وخصم المبلغ مدري ماجتني اي معلومات استلمها وكتبلي ان تم التفعيل ظاهره بتطبيق ماي اس سي,0
2021-01-24 10:15:10,السلام عليكم stc وين راحت الفلوس اللي أنخصمت رصيدي البنكي طريق ماي اس سي,0
2021-01-23 23:50:40,سمحت عندي شريحة قديمة وجيت بشحنها ماي اس سي وحصلتها الرقم موجود علمًا ان الواتساب وبياناتي كلها مسجله عليها ارجو افادتي,0
2021-01-23 01:01:41,انا اشحن طريق تطبيق ماي اس سي افضل,1
2021-01-22 21:01:20,السلام عليكم عندي مشكلة تطبيق ماي اس سي اجي أطلب فايبر يقول ( الخدمة متوفرة الوقت الحالي الرجاء المحاولة لاحقاً ) فهل تعلموني طريقه احل المشكله او تعطوني رقم مندوب اتواصل معه اتمنى تردون ان كانت مشكله مؤقته او,-1
2021-01-22 13:49:37,📌 الخاص 📩 : السلام عليكم ، انا رقمي باسم شخص اخر ، فهل تظهر عنده جهات اتصالي او ارقامي واتصالات بتطبيق ماي اس سي ، وهل تكون بالأسماء المسجلة عندي,-1
2021-01-21 17:45:48,نطلب ويرجع ريال قيمة الطلب ماي اس سي,0
2021-01-20 15:50:58,تطبيق ماي اس سي خلل ، مشترك بباقه سوايك لايك بلس ومشيك عليها العصر وبانت معي ، وبعد شوي فصل النت واختف الباقه ، تظهر لدي ضمن الخيارات لايمكن الاتصال بخدمة العملاء ادخل ع الباقه لتجديدها ان انتهت ولايوجد خيار الالغاء,-1
2021-01-20 09:22:10,اخي الفاضل لديه مشكله ماي اس سي لعدم اصدار بطاقه الكترونيه الرجاء التواص معي,0
2021-01-19 16:01:56,سلام عليكم انا شحنت رصيد دقيقه تطبيق ماي اس سي وتم سحب ريال وماجاني الرصيد,0
2021-01-19 15:55:50,سلام عليكم انا شحنت رصيد دقيقة خلال تطبيق ماي اس سي وتم سحب ريال وماجاني الرصيد وش الحل,0
2021-01-19 14:20:15,اكثر يوم والبلاغ مفتوح والى الان زال، وطلبت الغاء طريق خدمة العملاء وعن طريق ولم يغلق، لان البلاغ المفتوح يعطل اي طلب خلال ماي اس سي اذا الدعوى دفع فلوس جوك يركضون، واذا طلبت دعم او خدمة مجانية اهملوك,-1
2021-01-19 12:34:54,،، تدخل ع النفاذ الوطني ببياناتك ابشر وهم يعطونك رمز توثيق تحطه ف ماي اس سي ويضبط معك الرمز نفس البصمه,1
2021-01-18 09:16:56,اظن تقدرين تفعلينها ماي اس سي علطول,1
2021-01-17 17:50:50,الا اكثر طريقة حاليا عليها تطلع شريحة جديدة باسمها باسم اي حد قريب سوا طريق تطبيق ماي اس سي … — كويس شكرا 💞,1
2021-01-17 14:21:00,نتفلكس مايضبط معي وانا اشترك طريق ماي اس سي,-1
2021-01-17 13:23:53,اقول شهر اشترك باقة جيجا شهرين واتفاجأ انه مخلص قبل شهرين واذا دخلت تطبيق ماي اس سي احصل النت مخلص العلم فترت دوامي ساعات يومياً وباقي اليوم شابك شبكة البيت لهدرجه,-1
2021-01-17 13:23:43,مافي تجاوب ماي اس سي نهايئي يرد الموظف ويصرفني وبس,-1
2021-01-17 13:07:00,رابط الخبر بداية الدراسة كنت اشترك طريق برنامج ماي اس سي واضيفها نت البيت وفي الاخير ماصرت احصلها اتصل ع وتاكد لازالت موجودة,0
2021-01-16 23:53:08,لوسمحت عندي اعتراض الرصيد تواصلت ماي اس سي مافي فايده استفدة رفع البلاغ ارجع مستحقاتي واش يعني رصيد مسترد,-1
2021-01-16 18:09:49,انت الظاهر تشتغل معهم الرجال يقول مو قادر يدخل ماي اس سي يتواصل معهم طريق البرنامج,-1
2021-01-16 16:07:21,سلام عليكم اطلب تغير الباقه ويجيني تم رفع الطلب ولم تتغير الباقه وكل طريق ماي اس سي,-1
2021-01-15 20:48:47,ماي ستور و اس سي جيدين و stc توصله لباب البيت خلال يوم,1
2021-01-15 19:11:54,السلام عليكم انا عندي شريحه جوي باسمي ادخلها تطبيق ف ماي اس سي يطلع لايوجود شريحه مسجله بالهويه وش المشكله,0
2021-01-15 13:24:38,السلام عليكم فقدت معلومات دخلي لتطبيق ماي اس سي الحصول عليها,0
2021-01-13 23:35:54,ماي ستور ماي اس سي جرير اكسايت اكسترا فيرجن,0
2021-01-13 23:35:12,متوفر الاصدار الخامس ب ماي ستور ب وبرضو ب ماي اس سي بنفس السعر,0
2021-01-13 23:32:23,فعلا ماعندنا مشكلة الواحد يدور جهاز يرغب تتعب نفسيته طاري اس سي متجر ( ماي ستور ) معتمد و عروضهم نفس عروض اس سي بالضبط وبالخصومات نفسها واظنه تابع وعندهم خدمة اخبرني التوفر جهازي كان متوفر يوم توفر دقوا علي وجابوه بنفس اليوم ايام الحجر,1
2021-01-13 16:37:00,ارسلت خاص العلم اني تواصل الموظف ماي اس سي ردكم دايم تواصل خاص احد يرد الخاص,-1
2021-01-13 14:00:22,السلام عليكم اقدر ادخل ماي اس سي وانا جوالي موبايلي عندي انترنت اس سي رقم ثابت ابي اشوف الفواتير عجزت ادخل,-1
2021-01-12 09:17:08,سلام عليكم عندي مشكله بتطبيق ماي اس سي مااسدد طريق اس سي باي ابي اشحن شريحة كويك نت ماتتفعل,0
